nameJp,nameJpS,countryCode,countryCodeThreeLetter,regionCode,capitalJp,secondCapitalJp,isIsland,lat,lon,landLocked,nameJpB,nameJpBAbbr,population,borders.0,borders.1,borders.2,borders.3,borders.4,borders.5,borders.6,borders.7,borders.8,borders.9,borders.10,borders.11,borders.12,borders.13,borders.14,regionalBlocks.0,regionalBlocks.1,regionalBlocks.2,area
マレーシア連邦,マレーシア,MY,MYS,Asia,クアラルンプール,ペナン,false,3.139003,101.686855,,馬来西亜,馬,31405416,BRN,ID,TH,,,,,,,,,,,,,UN,ASEAN,,330803
ナミビア共和国,ナミビア,NA,NAM,Africa,ウィントフック,ウォルビスベイ,false,-22.5589039,17.082481,,納米比亜,,2324388,AGO,BW,ZA,ZM,,,,,,,,,,,,UN,AU,,824268
北キプロス・トルコ共和国,北キプロス,NC,NCL,Asia,ニコシア,,false,35.166667,33.35,,,,268767,,,,,,,,,,,,,,,,,,,3355
ニジェール共和国,ニジェール,NE,NER,Africa,ニアメ,ザンデール,false,13.512668,2.112516,Single,尼日爾,,20715000,DZA,BJ,BF,TD,LY,ML,NG,,,,,,,,,UN,AU,,1267000
ナイジェリア連邦共和国,ナイジェリア,NG,NGA,Africa,アブジャ,イバダン,false,9.0666667,7.4833333,,尼日利亜,,186988000,BEN,CM,TD,NE,,,,,,,,,,,,UN,AU,,923768
ナゴルノ・カラバフ共和国,ナゴルノ・カラバフ共和国,NK,,Asia,ステパナケルト,,false,39.815278,46.751944,,,,6262703,CRI,HN,,,,,,,,,,,,,,,CAIS,,11458
ニカラグア共和国,ニカラグア,NI,NIC,NorthAmerica,マナグア,レオン,false,12.1363889,-86.2513889,,尼加拉瓜,,6262703,CRI,HN,,,,,,,,,,,,,,UN,CAIS,,130373
ニウエ,ニウエ,NU,NIU,Asia,アロフィ,,false,-19.055027,-169.921262,,丹上,,1470,,,,,,,,,,,,,,,,,,,260
オランダ王国,オランダ,NL,NLD,Europe,アムステルダム,ロッテルダム,false,52.3702157,4.8951679,,和蘭,蘭,17019800,BEL,DE,,,,,,,,,,,,,,UN,EU,,37354
ノルウェー王国,ノルウェー,NO,NOR,Europe,オスロ,ベルゲン,false,59.9138688,10.7522454,,諾威,諾,5223256,FIN,SE,RU,,,,,,,,,,,,,UN,EFTA,,323787
ネパール連邦民主共和国,ネパール,NP,NPL,Asia,カトマンズ,ポカラ,false,27.7,85.3333333,Single,尼波羅,,28431500,CHN,IN,,,,,,,,,,,,,,UN,SAARC,,147181
ナウル共和国,ナウル,NR,NRU,Asia,ヤレン,,true,-0.5477,166.920867,,瑙魯,,10084,,,,,,,,,,,,,,,,UN,,,21
ニュージーランド,ニュージーランド,NZ,NZL,Oceania,ウェリントン,,true,-41.2864603,174.776236,,新西蘭,新,4697854,,,,,,,,,,,,,,,,UN,,,270467
オマーン国,オマーン,OM,OMN,Asia,マスカット,サラーラ,false,23.61,58.54,,阿曼,,4420133,SAU,AE,YE,,,,,,,,,,,,,UN,AL,,309500
南オセチア共和国,南オセチア,OS,,Europe,ツヒンヴァリ,,false,42.233333,43.966667,,,,4420133,SAU,AE,YE,,,,,,,,,,,,,,AL,,3900
パキスタン・イスラム共和国,パキスタン,PK,PAK,Asia,イスラマバード,ラホール,false,33.718151,73.060547,,巴基斯坦,,194125062,AFG,CN,IN,IR,,,,,,,,,,,,UN,SAARC,,796095
パナマ共和国,パナマ,PA,PAN,NorthAmerica,パナマシティ,,false,8.9942689,-79.518792,,巴奈馬,巴,3814672,COL,CR,,,,,,,,,,,,,,UN,CAIS,,75417
ペルー共和国,ペルー,PE,PER,SouthAmerica,リマ,アレキパ,false,-12.0478158,-77.0622028,,秘露,秘,31488700,BOL,BR,CL,CO,EC,,,,,,,,,,,UN,PA,USAN,1285216
フィリピン共和国,フィリピン,PH,PHL,Asia,マニラ,ケソン,true,14.5995124,120.9842195,,比律賓,比,103279800,,,,,,,,,,,,,,,,UN,ASEAN,,300000
パラオ共和国,パラオ,PW,PLW,Oceania,マルキョク,,true,7.500795,134.618708,,巴楼,,17950,,,,,,,,,,,,,,,,UN,,,459
パプアニューギニア独立国,パプアニューギニア,PG,PNG,Oceania,ポートモレスビー,ラエ,true,-9.481553,147.190242,,巴布亜新几内亜,,8083700,IDN,,,,,,,,,,,,,,,UN,,,462840
ポーランド共和国,ポーランド,PL,POL,Europe,ワルシャワ,ウッチ,false,52.2296756,21.0122287,,波蘭,波,38437239,BLR,CZ,DE,LT,RU,SK,UA,,,,,,,,,UN,EU,,311888
朝鮮民主主義人民共和国,北朝鮮,KP,PRK,Asia,ピョンヤン,咸興,false,39.031859,125.753765,,,,25281000,CHN,KR,RU,,,,,,,,,,,,,UN,,,120538
ポルトガル共和国,ポルトガル,PT,PRT,Europe,リスボン,ポルト,false,38.7252993,-9.1500364,,葡萄牙,葡,10374822,ESP,,,,,,,,,,,,,,,UN,EU,,92212
パラグアイ共和国,パラグアイ,PY,PRY,SouthAmerica,アスンシオン,シウダー・デル・エステ,false,-25.2821972,-57.6351,Single,巴拉圭,,6854536,ARG,BO,BR,,,,,,,,,,,,,UN,USAN,,406752
パレスチナ国,パレスチナ,PS,PSE,Asia,東エルサレム,,false,31.9521,35.2331,,巴勒斯旦,,4682467,ISR,EG,JO,,,,,,,,,,,,,,AL,,6020
カタール国,カタール,QA,QAT,Asia,ドーハ,アル・ホール,false,25.280282,51.522476,,華太瑠,,2587564,SAU,,,,,,,,,,,,,,,UN,AL,,11607
ルーマニア,ルーマニア,RO,ROU,Europe,ブカレスト,ヤシ,false,44.4325,26.1038889,,羅馬尼亜,羅,19861408,BGR,HU,MD,RS,UA,,,,,,,,,,,UN,EU,,238391
ロシア連邦,ロシア,RU,RUS,Europe,モスクワ,サンクトペテルブルク,false,55.7512419,37.6184217,,露西亜,露,146599183,AZE,BY,CN,EE,FI,GE,KZ,KP,LV,LT,MN,NO,PL,UA,,UN,EEU,,17098242
ルワンダ共和国,ルワンダ,RW,RWA,Africa,キガリ,ブタレ,false,-1.950106,30.058769,Single,盧旺達,,11553188,BDI,CD,TZ,UG,,,,,,,,,,,,UN,AU,,26340
サウジアラビア王国,サウジアラビア,SA,SAU,Asia,リヤド,ジッダ,false,24.7116667,46.7241667,,沙特阿拉伯,沙,32248200,IRQ,JO,KW,OM,QA,AE,YE,,,,,,,,,UN,AL,,2149690
スーダン共和国,スーダン,SD,SDN,Africa,ハルツーム,オムドゥルマン,false,15.550101,32.532241,,蘇丹,,39598700,CAF,TD,EG,ER,ET,LY,SS,,,,,,,,,UN,AU,AL,1861484
セネガル共和国,セネガル,SN,SEN,Africa,ダカール,トゥーバ,false,14.7645042,-17.3660286,,塞内加爾,,14799859,GMB,GN,GW,ML,MR,,,,,,,,,,,UN,AU,,196712
シンガポール共和国,シンガポール,SG,SGP,Asia,シンガポール,,true,1.2800945,103.8509491,,新嘉坡,星,5535000,,,,,,,,,,,,,,,,UN,ASEAN,,714
ソロモン諸島,ソロモン諸島,SB,SLB,Oceania,ホニアラ,,true,-9.430384,159.9483229,,撒羅蒙,,642000,,,,,,,,,,,,,,,,UN,,,28896
シエラレオネ共和国,シエラレオネ,SL,SLE,Africa,フリータウン,ボー,false,8.484146,-13.22867,,塞拉勒窩内,,7075641,GIN,LR,,,,,,,,,,,,,,UN,AU,,72300
エルサルバドル共和国,エルサルバドル,SV,SLV,NorthAmerica,サンサルバドル,サンタ・アナ,false,13.706881,-89.20181,,薩爾瓦多,,6520675,GTM,HN,,,,,,,,,,,,,,UN,CAIS,,21041
サンマリノ共和国,サンマリノ,SM,SMR,Europe,サンマリノ,,false,43.94236,12.457777,Single,聖馬力諾,,33005,ITA,,,,,,,,,,,,,,,UN,,,61
ソマリア民主共和国,ソマリア,SO,SOM,Africa,モガディシオ,ハルゲイサ,false,2.0333333,45.35,,索謀利,,11079000,DJI,ET,KE,,,,,,,,,,,,,UN,AU,AL,637657
セルビア共和国,セルビア,RS,SRB,Europe,ベオグラード,ノヴィ・サド,false,44.8205556,20.4622222,Single,塞爾維亜,,7076372,BIH,BG,HR,HU,KS,MK,ME,RO,,,,,,,,UN,CEFTA,,88361
南スーダン共和国,南スーダン,SS,SSD,Africa,ジュバ,マラカル,false,4.85,31.6,Single,南蘇丹,,12131000,CAF,CD,ET,KE,SD,UG,,,,,,,,,,UN,AU,,644329
サントメ・プリンシペ民主共和国,サントメ・プリンシペ,ST,STP,Africa,サントメ,サント・アマーロ,true,0.336767,6.727799,,聖多美普林西比,,187356,,,,,,,,,,,,,,,,UN,AU,,964
スリナム共和国,スリナム,SR,SUR,SouthAmerica,パラマリボ,,false,5.823201,-55.16788,,蘇里南,,541638,BRA,,FR,GY,,,,,,,,,,,,UN,CARICOM,USAN,163820
スロバキア共和国,スロバキア,SK,SVK,Europe,ブラチスラバ,コシツェ,false,48.1458923,17.1071373,Single,斯洛伐克,,5426252,AUT,CZ,HU,PL,UA,,,,,,,,,,,UN,EU,,49036
スロベニア共和国,スロベニア,SI,SVN,Europe,リュブリャナ,マリボル,false,46.0564509,14.5080702,Sub,斯洛文尼亜,,2064188,AUT,HR,IT,HU,,,,,,,,,,,,UN,EU,,20273
スウェーデン王国,スウェーデン,SE,SWE,Europe,ストックホルム,ヨーテボリ,false,59.32893,18.06491,,瑞典,瑞,9894888,FIN,NO,,,,,,,,,,,,,,UN,EU,,450295
エスワティニ王国,エスワティニ,SZ,SWZ,Africa,ムババーネ,マンジニ,false,-26.318689,31.1437,Single,斯威士蘭,,1132657,MOZ,ZA,,,,,,,,,,,,,,UN,AU,,#N/A
セーシェル共和国,セーシェル,SC,SYC,Africa,ビクトリア,,true,-4.619143,55.4513149,,塞設勒,,91400,,,,,,,,,,,,,,,,UN,AU,,452
シリア・アラブ共和国,シリア,SY,SYR,Asia,ダマスカス,アレッポ,false,33.5111,36.3064,,叙利亜,叙,18564000,IRQ,IL,JO,LB,TR,,,,,,,,,,,UN,AL,,185180
チャド共和国,チャド,TD,TCD,Africa,ウンジャメナ,ムンドゥ,false,12.104797,15.044506,Single,差徳,,14497000,CMR,CF,LY,NE,NG,SS,,,,,,,,,,UN,AU,,1284000
トーゴ共和国,トーゴ,TG,TGO,Africa,ロメ,ソコデ,false,6.1377778,1.2125,Sub,多哥,,7143000,BEN,BF,GH,,,,,,,,,,,,,UN,AU,,56785
タイ王国,タイ,TH,THA,Asia,バンコク,チエンマイ,false,13.7278956,100.5241235,,泰,泰,65327652,MMR,KH,LA,MY,,,,,,,,,,,,UN,ASEAN,,513120
タジキスタン共和国,タジキスタン,TJ,TJK,Asia,ドゥシャンベ,ホジェンド,false,38.5366667,68.78,Single,塔吉克斯坦,塔,8593600,AFG,CN,KG,UZ,,,,,,,,,,,,UN,,,143100
トルクメニスタン,トルクメニスタン,TM,TKM,Asia,アシガバット,テュルクメナバート,false,37.9333333,58.3666667,Single,土庫曼斯坦,,4751120,AFG,IR,KZ,UZ,,,,,,,,,,,,UN,,,488100
東ティモール民主共和国,東ティモール,TL,TLS,Oceania,ディリ,,true,-8.558458,125.578151,,東的木児,,1167242,IDN,,,,,,,,,,,,,,,UN,,,14919
トンガ王国,トンガ,TO,TON,Oceania,ヌクアロファ,,true,-21.1333333,-175.2,,東加,,103252,,,,,,,,,,,,,,,,UN,,,747
トリニダード・トバゴ共和国,トリニダード・トバゴ,TT,TTO,SouthAmerica,ポートオブスペイン,サンフェルナンド,true,10.6666667,-61.5166667,,特立尼達和多巴哥,,1349667,,,,,,,,,,,,,,,,UN,CARICOM,,5130
チュニジア共和国,チュニジア,TN,TUN,Africa,チュニス,スファックス,false,36.81881,10.16596,,突尼斯,突,11154400,DZA,LY,,,,,,,,,,,,,,UN,AU,AL,163610
トルコ共和国,トルコ,TR,TUR,Europe,アンカラ,,false,39.92077,32.85411,,土耳古,土,78741053,ARM,AZ,BG,GE,GR,IR,IQ,SY,,,,,,,,UN,,,783562
ツバル,ツバル,TV,TUV,Oceania,フナフティ,,true,-8.5259606,179.1955922,,挨里西,,10640,,,,,,,,,,,,,,,,UN,,,26
中華民国,台湾,TW,TWN,Asia,台北,高雄,false,25.091075,121.5598345,,,,23503349,,,,,,,,,,,,,,,,,,,36188
タンザニア連合共和国,タンザニア,TZ,TZA,Africa,ドドマ,ムワンザ,false,-6.1730556,35.7419444,,坦桑尼亜,,55155000,BDI,CD,KE,MW,MZ,RW,UG,ZM,,,,,,,,UN,AU,,945087
ウガンダ共和国,ウガンダ,UG,UGA,Africa,カンパラ,キラ,false,0.3136111,32.5811111,Single,烏干達,,33860700,COD,KE,RW,SS,TZ,,,,,,,,,,,UN,AU,,241550
ウクライナ,ウクライナ,UA,UKR,Europe,キエフ,ハルキウ,false,50.4501,30.5234,,烏克蘭,烏,42692393,BLR,HU,MD,PL,RO,RU,SK,,,,,,,,,UN,,,603500
ウルグアイ東方共和国,ウルグアイ,UY,URY,SouthAmerica,モンテビデオ,サルト,false,-34.8836111,-56.1819444,,烏拉乖,,3480222,ARG,BR,,,,,,,,,,,,,,UN,USAN,,176215
アメリカ合衆国,アメリカ,US,USA,NorthAmerica,ワシントンD.C.,ロサンゼルス,false,38.8951118,-77.0363658,,亜米利加,米,323947000,CAN,MX,,,,,,,,,,,,,,UN,NAFTA,,9525067
ウズベキスタン共和国,ウズベキスタン,UZ,UZB,Asia,タシケント,サマルカンド,false,41.2666667,69.2166667,Double,月即別,,31576400,AFG,KZ,KG,TJ,TM,,,,,,,,,,,UN,,,449000
バチカン市国,バチカン市国,VA,VAT,Europe,バチカン,,false,41.902916,12.453389,Single,法迪坎,,451,ITA,,,,,,,,,,,,,,,,,,0.44
セントビンセント・グレナディーン諸島,セントビンセント・グレナディーン,VC,VCT,SouthAmerica,キングスタウン,,true,13.155322,-61.224367,,聖文森特格林納丁,,109991,,,,,,,,,,,,,,,,UN,CARICOM,,389
ベネズエラ・ボリバル共和国,ベネズエラ,VE,VEN,SouthAmerica,カラカス,マラカイボ,false,10.491016,-66.902061,,委内瑞拉,委,31028700,BRA,CO,GY,,,,,,,,,,,,,UN,USAN,,912050
ベトナム社会主義共和国,ベトナム,VN,VNM,Asia,ハノイ,,false,21.0333333,105.85,,越南,越,92700000,KHM,CN,LA,,,,,,,,,,,,,UN,ASEAN,,330957
バヌアツ共和国,バヌアツ,VU,VUT,Oceania,ポートビラ,ルーガンビル,true,-17.734818,168.3220289,,新希比利的,,277500,,,,,,,,,,,,,,,,UN,,,12189
サモア独立国,サモア,WS,WSM,Oceania,アピア,,true,-13.8333333,-171.75,,撒摩阿,,194899,,,,,,,,,,,,,,,,UN,,,2842
イエメン共和国,イエメン,YE,YEM,Asia,サヌア,アデン,false,15.352029,44.207456,,也門,,27478000,OMN,SA,,,,,,,,,,,,,,UN,AL,,527968
南アフリカ共和国,南アフリカ,ZA,ZAF,Africa,プレトリア,ケープタウン,false,-25.73134,28.21837,,南阿弗利加,,55653654,BWA,LS,MZ,NA,SZ,ZW,,,,,,,,,,UN,AU,,1221037
ザンビア共和国,ザンビア,ZM,ZMB,Africa,ルサカ,ンドラ,false,-15.408193,28.287167,Single,山美亜,,15933883,AGO,BW,CD,MW,MZ,NA,TZ,ZW,,,,,,,,UN,AU,,752612
ジンバブエ共和国,ジンバブエ,ZW,ZWE,Africa,ハラレ,ブラワヨ,false,-17.82922,31.053961,,津巴布韋,,14240168,BWA,MZ,ZA,ZM,,,,,,,,,,,,UN,AU,,390757
